<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
WDC,D,20170824,89,90.18,88.35,89.45,3532900
WDFC,D,20170824,105.7,107.65,105.45,107.55,56000
WEB,D,20170824,23.9,24.1,23.45,24.05,202500
WEBK,D,20170824,25.15,25.55,25.15,25.3,1800
WEN,D,20170824,15.1,15.15,14.86,14.88,2110700
WERN,D,20170824,31.45,31.75,30.8,31,790600
WETF,D,20170824,9.04,9.34,9.03,9.19,1503300
WEYS,D,20170824,28,28.43,27.95,28.14,8000
WFBI,D,20170824,33.32,33.5,32.95,33.49,16200
WFM,D,20170824,41.97,42.01,41.95,41.98,19276500
WHF,D,20170824,14.4,14.44,14.265,14.34,47600
WHFBL,D,20170824,25.84,25.84,25.84,25.84,0
WHLM,D,20170824,6.91,6.91,6.91,6.91,100
WHLR,D,20170824,10,10.23,10,10.01,24000
WHLRD,D,20170824,22.04,22.13,22.01,22.04,13300
WHLRP,D,20170824,21,21.02,20.98,21.02,7600
WHLRW,D,20170824,0.07,0.08,0.07,0.07,17700
WIFI,D,20170824,19.75,20,19.67,19.84,371800
WILC,D,20170824,6.3,6.3,6.01,6.26,4200
WIN,D,20170824,1.99,2.02,1.96,2,2411200
WINA,D,20170824,128.55,129.45,127.5,127.75,2100
WING,D,20170824,35.11,35.11,34.46,34.65,290700
WIRE,D,20170824,38.75,39.9,38.7,39.8,92900
WIX,D,20170824,61.05,61.45,59.85,60.95,377800
WKHS,D,20170824,3.09,3.25,3.06,3.25,191500
WLB,D,20170824,2.11,2.22,2.01,2.14,366900
WLDN,D,20170824,30.06,30.33,29.73,30.16,89600
WLFC,D,20170824,23.5,23.64,23.34,23.61,15300
WLTW,D,20170824,149.02,149.045,148.065,148.36,378100
WMAR,D,20170824,12.95,12.95,12.9,12.93,355000
WMGI,D,20170824,28.6,28.85,28.39,28.53,350800
WMGIZ,D,20170824,1.56,1.56,1.56,1.56,100
WMIH,D,20170824,1.25,1.25,1.15,1.225,331900
WNEB,D,20170824,9.75,9.95,9.75,9.9,81100
WOOD,D,20170824,62.35,62.53,62.34,62.45,3600
WOOF,D,20170824,92.57,92.61,92.51,92.56,268800
WPCS,D,20170824,1.24,1.25,1.23,1.24,7600
WPPGY,D,20170824,93.61,94.08,93.08,93.14,264200
WPRT,D,20170824,2.27,2.28,2.21,2.24,349500
WRLD,D,20170824,72.57,72.73,71.57,72.31,49800
WRLS,D,20170824,9.65,9.67,9.64,9.65,19600
WRLSR,D,20170824,0.39,0.39,0.37,0.39,203600
WRLSU,D,20170824,10.25,10.25,10.23,10.23,4100
WRLSW,D,20170824,0.485,0.49,0.485,0.49,4000
WSBC,D,20170824,36.74,36.91,36.52,36.9,98600
WSBF,D,20170824,17.45,17.7,17.45,17.65,44000
WSCI,D,20170824,3.1,3.1,3.1,3.1,0
WSFS,D,20170824,44.3,44.3,43.75,44.25,64600
WSFSL,D,20170824,25.04,25.05,25,25,1000
WSTC,D,20170824,23.35,23.38,23.35,23.37,82400
WSTG,D,20170824,15.55,15.645,15.4,15.45,4800
WSTL,D,20170824,3.06,3.09,2.97,3.08,44000
WTBA,D,20170824,21.45,21.85,21.3,21.75,13400
WTFC,D,20170824,72.82,72.86,71.85,72.51,175400
WTFCM,D,20170824,28.92,28.95,28.8,28.95,3500
WVE,D,20170824,17.15,17.8,16.925,17.4,77200
WVFC,D,20170824,15.96,15.96,15.96,15.96,200
WVVI,D,20170824,7.98,8.01,7.94,8.01,2900
WVVIP,D,20170824,4.9,4.9,4.9,4.9,0
WWD,D,20170824,67.6,67.6,66.885,67.23,88500
WWR,D,20170824,1.31,1.38,1.31,1.35,275200
WYIGW,D,20170824,0.24,0.3,0.24,0.3,4700
WYNN,D,20170824,135.3,135.3,132.57,134.1,1474300
XBIO,D,20170824,2.68,2.835,2.61,2.64,14000
XBIT,D,20170824,5,5.07,4.8,5.05,90600
XBKS,D,20170824,28.7,29.18,28.52,29.12,44900
XCRA,D,20170824,9.37,9.46,9.36,9.45,157300
XELA,D,20170824,5.84,5.84,5.84,5.84,300
XELAW,D,20170824,0.415,0.415,0.415,0.415,100
XELB,D,20170824,4.1,4.1,4.1,4.1,1400
XENE,D,20170824,3.15,3.25,3.1,3.25,48500
XENT,D,20170824,30.9,31.2,30.6,30.75,242700
XGTI,D,20170824,1.85,1.88,1.8,1.82,482100
XIV,D,20170824,82.01,82.54,77.84,79.04,18854100
XLNX,D,20170824,64,64.45,63.52,64.23,2896600
XLRN,D,20170824,34.41,35.75,34.25,35.72,223400
XNCR,D,20170824,19.72,20.62,19.67,20.59,240200
XNET,D,20170824,4.34,4.49,4.31,4.46,203600
XOG,D,20170824,11.9,12.1,11.83,12.08,632300
XOMA,D,20170824,7.98,9.09,7.98,8.93,187000
XONE,D,20170824,8.01,8.02,7.59,7.84,211600
XPER,D,20170824,25.35,25.55,25.1,25.35,419100
XPLR,D,20170824,3.54,3.54,3.34,3.53,112000
XRAY,D,20170824,53,54.81,53,54.62,3173600
XT,D,20170824,32.86,32.86,32.67,32.75,119700
XTLB,D,20170824,2.77,2.87,2.74,2.82,15500
YDIV,D,20170824,18.425,18.585,18.288,18.56,1500
YERR,D,20170824,10.34,10.4,10.25,10.35,2600
YGYI,D,20170824,4.7,5.34,4.57,5.25,35800
YIN,D,20170824,10.07,10.07,9.86,10.02,21800
YLCO,D,20170824,12.52,12.52,12.52,12.52,800
YNDX,D,20170824,30.09,30.18,29.69,29.88,1300000
YORW,D,20170824,32.7,33.25,32.6,33.05,11300
YRCW,D,20170824,11.97,12.105,11.53,11.56,435100
YTEN,D,20170824,2.59,2.59,2.29,2.5,1500
YTRA,D,20170824,9.67,9.82,9.6,9.71,69900
YY,D,20170824,74.63,75.595,74.31,75.24,1103400
